# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=portuguese,Português Portugal
	ICON=Icons/portugal-portuguese.png
	ORDER=11

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_NS=
		Não desligues a consola
		quando este ícone for exibido
	AUTOSAVING_TITLE_PS4=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_PS4=
		Não desligues a consola
		quando este ícone for exibido
	AUTOSAVING_TITLE_XB1=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_XB1=
		Não desligues a consola
		quando este ícone for exibido
	AUTOSAVING_TITLE_PC=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_PC=
		Não desligues o computador
		quando este ícone for exibido

# Main Menu
	MENU_DEBUG=		~DEBUG~
	OPTIONS_DISABLE_SHAKE=	Efeitos de Vibração do Ecrã

	OPTIONS_AUDIO=			ÁUDIO
	OPTIONS_MUSIC=			Musica
	OPTIONS_SOUNDS=			Sons

	OPTIONS_GAMEPLAY=		JOGO
	OPTIONS_SPEEDRUN=		Cronómetro de Speedrun
	OPTIONS_SPEEDRUN_CHAPTER=Capítulo
	OPTIONS_SPEEDRUN_FILE=	Ficheiro
	OPTIONS_DASHES=			Contador de Dashes
	OPTIONS_LANGUAGE=		Idioma
	OPTIONS_ON=				SIM
	OPTIONS_OFF=			NÃO

# KEYBOARD CONFIG
	KEY_CONFIG_TITLE=		Configuração do Teclado
	KEY_CONFIG_GAMEPLAY=	JOGO
	KEY_CONFIG_LEFT=		Esquerda
	KEY_CONFIG_RIGHT=		Direita
	KEY_CONFIG_UP=			Cima
	KEY_CONFIG_DOWN=		Baixo
	KEY_CONFIG_JUMP=		Saltar
	KEY_CONFIG_DASH=		Dash
	KEY_CONFIG_GRAB=		Agarrar
	KEY_CONFIG_TALK=		Falar
	KEY_CONFIG_MENUS=		MENU
	KEY_CONFIG_CONFIRM=		Confirmar
	KEY_CONFIG_CANCEL=		Cancelar
	KEY_CONFIG_PAUSE=		Pausar
	KEY_CONFIG_JOURNAL=		Diário
	KEY_CONFIG_QUICKRESTART=Reinicio Rápido
	KEY_CONFIG_RESET=		Reiniciar Tudo
	KEY_CONFIG_CHANGING=	CARREGA NA TECLA PARA
	KEY_CONFIG_MOVE_ONLY=	APENAS PARA MOVIMENTO
	KEY_CONFIG_DASH_ONLY=	APENAS PARA DASH

# CONTROLLER CONFIG
	BTN_CONFIG_TITLE=		Configuração do Comando
	BTN_CONFIG_INFO=		CARREGA | PARA ADICIONAR UM BOTÃO, | PARA LIMPAR BOTÕES
	BTN_CONFIG_CHANGING=	CARREGA NO BOTÃO PARA ADICIONAR A
	BTN_CONFIG_NOCONTROLLER=Por Favor Liga Um Comando

# ADDITIONAL OPTIONS FOR V1.4.0.0
	KEY_CONFIG_DEMO=		Dash Agachado
	KEY_CONFIG_ADVANCED=	AVANÇADO
	KEY_CONFIG_MENU_NOTICE= CADA AÇÃO PRECISA DE UM VÍNCULO ÚNICO

# PICO-8
	PICO8_UNLOCKED=			Agora pode ser jogado a partir do Menu Principal
	PICO8_PAUSE_TITLE=		PAUSA
	PICO8_PAUSE_CONTINUE=	Continuar
	PICO8_PAUSE_RESTART=	Reiniciar PICO-8
	PICO8_PAUSE_QUIT=		Sair do PICO-8

# FILE MENU
	FILE_DEFAULT=		Madeline
	FILE_CORRUPTED=		Corrompido :(
	FILE_FAILEDTOLOAD=	Erro ao Carregar
	FILE_NEWGAME=		Começar Um Jogo Novo!
	FILE_CONTINUE=		Continuar
	FILE_DELETE=		Apagar
	FILE_BEGIN=			Começar
	FILE_ASSIST_OFF=	Modo de Assistência : NÃO
	FILE_ASSIST_ON=		Modo de Assistência : SIM
	FILE_VARIANT_OFF=	Modo Variável : NÃO
	FILE_VARIANT_ON=	Modo Variável : SIM
	FILE_RENAME=		Mudar o Nome
	FILE_DELETE_REALLY=	Tens a Certeza?
	FILE_DELETE_NO=		Cancelar
	FILE_DELETE_YES=	Apagar
	FILE_DELETE_FAILED=	Erro ao Apagar Ficheiro!

# Assist Mode
	ASSIST_MODE_0=
		O {# 44adf7}Modo de Assistência{#} permite que mudes{n}
		as regras do jogo consoante as tuas necessidades.
	ASSIST_MODE_1=
		Isto inclui opções como abrandar a velocidade do jogo,{n}
		tornar-te invencível ou dar-te energia infinita,{n}
		e saltar capítulos inteiros.
	ASSIST_MODE_2=
		O Celeste foi desenhado para ser uma experiência desafiante.{n}
		Se o jogo provar ser inacessível para ti, esperemos que consigas{n}
		ter essa experiência na mesma com o {# 44adf7}Modo de Assistência{#}
	ASSIST_ASK=		Queres jogar com o {# 44adf7}Modo de Assistência{#}?
	ASSIST_YES=		Sim
	ASSIST_NO=		Não
	ASSIST_SKIP=	Assistência{n}Saltar

# File Naming
	NAME_LETTERS=
		ABCDEFGHI abcdefghi
		JKLMNOPQR jklmnopqr
		STUVWXYZ  stuvwxyz
		1234567890+=:~!@$%
		^&*_-#"'()<>/\.,|`

	NAME_SPACE=			espaço
	NAME_BACKSPACE=		retroceder
	NAME_ACCEPT=		ACEITAR
	NAME_BACK=			CANCELAR

# Xbox One Stuff
	XB1_MENU_SWITCH_PROFILE=	Alterar Perfil
	XB1_SIGN_OUT_MESSAGE=		Uma mudança de início de sessão ocorreu. Por favor inicia sessão de novo ou sai para o menu principal.
	XB1_SIGN_IN=				Iniciar Sessão
	XB1_RECONNECT_CONTROLLER=	Por favor liga o comando de novo para continuar.

# Intro Vignette
	INTRO_VIGNETTE_RESUME=	Continuar
	INTRO_VIGNETTE_SKIP=	Saltar
	INTRO_VIGNETTE_QUIT=	Sair

# Overworld
	OVERWORLD_START=			Iniciar
	OVERWORLD_NORMAL=			ESCALAR
	OVERWORLD_INTERLUDE=		COMEÇAR
	OVERWORLD_REMIX=			LADO B
	OVERWORLD_REMIX2=			LADO C
	OVERWORLD_REMIX_UNLOCKED=	Lado B desbloqueado!
	OVERWORLD_REMIX_UNLOCKED2=	Lado C desbloqueado!

# Chapter Titles
	AREA_CHAPTER=	Capítulo {x}
	AREA_0=			Prólogo
	AREA_1=			Cidade Abandonada
	AREA_2=			Terreno Antigo
	AREA_3=			Resort Celestial
	AREA_4=			Cordilheira Dourada
	AREA_5=			Templo do Espelho
	AREA_6=			Reflexão
	AREA_7=			O Cume
	AREA_8=			Epílogo
	AREA_9=			Núcleo
	AREA_10=		Adeus

# Checkpoints
	CHECKPOINT_1_0=		Travessia
	CHECKPOINT_1_1=		Abismo

	CHECKPOINT_2_0=		Intervenção
	CHECKPOINT_2_1=		Acordada

	CHECKPOINT_3_0=		Grande Confusão
	CHECKPOINT_3_1=		Poço do Elevador
	CHECKPOINT_3_2=		Suite Presidencial

	CHECKPOINT_4_0=		Templo
	CHECKPOINT_4_1=		Trilho Antigo
	CHECKPOINT_4_2=		Face do Penhasco

	CHECKPOINT_5_0=		Profundezas
	CHECKPOINT_5_1=		Revelações
	CHECKPOINT_5_2=		Busca
	CHECKPOINT_5_3=		Salvamento

	CHECKPOINT_6_0=		Lago
	CHECKPOINT_6_1=		Ravina
	CHECKPOINT_6_2=		Reflexo
	CHECKPOINT_6_3=		Fundo
	CHECKPOINT_6_4=		Resolução
	CHECKPOINT_7_0=		500 M
	CHECKPOINT_7_1=		1000 M
	CHECKPOINT_7_2=		1500 M
	CHECKPOINT_7_3=		2000 M
	CHECKPOINT_7_4=		2500 M
	CHECKPOINT_7_5=		3000 M

	CHECKPOINT_8_0=		No Núcleo
	CHECKPOINT_8_1=		Quente e Frio
	CHECKPOINT_8_2=		Coração da Montanha

	CHECKPOINT_9_0=		Singular
	CHECKPOINT_9_1=		Fonte de Energia
	CHECKPOINT_9_2=		Relembrado
	CHECKPOINT_9_3=		Horizonte de Eventos
	CHECKPOINT_9_4=		Determinação
	CHECKPOINT_9_5=		Teimosia
	CHECKPOINT_9_6=		Reconciliação
	CHECKPOINT_9_7=		Adeus

	# B-Side Checkpoints
	CHECKPOINT_1H_0=	Engenhoca
	CHECKPOINT_1H_1=	Poço de Sucata

	CHECKPOINT_2H_0=	Cadeado com Segredo
	CHECKPOINT_2H_1=	Altar dos Sonhos

	CHECKPOINT_3H_0=	Alojamento
	CHECKPOINT_3H_1=	Biblioteca
	CHECKPOINT_3H_2=	Telhado

	CHECKPOINT_4H_0=	Ladrilhos
	CHECKPOINT_4H_1=	Desfiladeiro Tempestuoso
	CHECKPOINT_4H_2=	Olho da Tempestade

	CHECKPOINT_5H_0=	Câmara Central
	CHECKPOINT_5H_1=	Através do Espelho
	CHECKPOINT_5H_2=	Mestre da Mistura

	CHECKPOINT_6H_0=	Reflexo
	CHECKPOINT_6H_1=	Fundo do Poço
	CHECKPOINT_6H_2=	Adiamento

	CHECKPOINT_7H_0=	500 m
	CHECKPOINT_7H_1=	1000 m
	CHECKPOINT_7H_2=	1500 m
	CHECKPOINT_7H_3=	2000 m
	CHECKPOINT_7H_4=	2500 m
	CHECKPOINT_7H_5=	3000 m

	CHECKPOINT_8H_0=	No núcleo
	CHECKPOINT_8H_1=	Queimar ou Congelar
	CHECKPOINT_8H_2=	Batimento Cardíaco

# Postcards
	POSTCARD_AREA_1=
		Seleciona {#ff1144}Guardar e Sair{#} no menu pausa a qualquer altura para fazer um intervalo. Irás recomeçar no mesmo ecrã e não perdes nenhum progresso!

	POSTCARD_AREA_2=
		Os {#ff1144}Morangos{#} vão impressionar os teus amigos, mas é só isso que fazem. Só os coleciones se quiseres mesmo!

	POSTCARD_AREA_3=
		Sê orgulhoso da tua {#ff1144}Contagem de Mortes{#}!{n}Quantas mais vezes morreres, mais aprendes.{n}Continua assim!

	POSTCARD_AREA_4=
		{# F94A4A}Dica de Escalada!{#}{n}Estás a ficar sem forças?{n}{n}Saltar das paredes{n}não consome energia!

	POSTCARD_AREA_5=
		{# F94A4A}Sabias Que:{#}{n}Maior parte dos acidentes de escalada{n}acontecem por causa da exaustão.{n}{n}Lembra-te de fazer pausas regulares!

	POSTCARD_AREA_6=
		{# F94A4A}Sabias Que:{#}{n}{n}É impossível{n}fugires ao teu próprio reflexo.

	POSTCARD_CSIDES=
		Pronto para um desafio a sério?{n}{n}{# F94A4A}Lados C{#} foram desbloqueados, e{n}{# dbb63f}Morangos Dourados{#} apareceram{n} ao início de cada capítulo!{n}{n}Boa sorte, {+MADELINE}!

	POSTCARD_VARIANTS=
		Uau, conseguiste!{n}{n}{# 9B3FB5}Variantes{#} estão agora acessíveis a partir do Menu de Selecionar Ficheiro.

# Journal
	JOURNAL_OF=
	JOURNAL_PROGRESS=				PROGRESSSO
	JOURNAL_SPEEDRUNS=				RECORDES:{n}SPEEDRUNS
	JOURNAL_DASHES=					RECORDES:{n}MENOR Nº DASHES
	JOURNAL_DEATHS=					RECORDES:{n}MENOR Nº DEATHS
	JOURNAL_POEM=					CORAÇÕES DE CRISTAL
	JOURNAL_MODE_NORMAL=			CONCLUÍDO
	JOURNAL_MODE_NORMAL_FULLCLEAR=	CONCLUÍDO POR COMPLETO
	JOURNAL_MODE_BSIDE=				LADO B
	JOURNAL_MODE_CSIDE=				LADO C
	JOURNAL_TOTALS=					TOTAIS
	JOURNAL_GRANDTOTAL=				TOTAL GERAL

# Stats
	STATS_TITLE=			Estatísticas Globais da Steam
	STAT_BERRIES=			Morangos
	STAT_DEATHS=			Mortes
	STAT_DASHES=			Dashes
	STAT_GOLDBERRIES=		Morangos Dourados
	STAT_PICO_BERRIES=		Morangos do PICO-8
	STAT_PICO_DEATHS=		Mortes do PICO-8
	STAT_PICO_COMPLETES=	Conclusões do PICO-8

# Saving / Loading Failed
	SAVEFAILED_TITLE=	NÃO FOI POSSÍVEL GRAVAR
	SAVEFAILED_RETRY=	Tenta de Novo
	SAVEFAILED_IGNORE=	Continuar Sem Gravar
	LOADFAILED_TITLE=	NÃO FOI POSSÍVEL CARREGAR
	LOADFAILED_GOBACK=	Voltar Atrás
	LOADFAILED_IGNORE=	Continuar Sem Gravar

# Tutorial
	TUTORIAL_CLIMB=		ESCALAR
	TUTORIAL_HOLD=		SEGURAR
	TUTORIAL_DASH=		DASH
	TUTORIAL_DREAMJUMP=	SALTAR
	TUTORIAL_CARRY=		PEGAR

# Area Complete
	AREACOMPLETE_NORMAL=				Capítulo Completo
	AREACOMPLETE_NORMAL_FULLCLEAR=		Capítulo Totalmente Completo
	AREACOMPLETE_BSIDE=					Lado B Completo
	AREACOMPLETE_CSIDE=					Lado C Completo
	MOUNTAIN_COMPLETE_NORMAL=			Completo
	MOUNTAIN_COMPLETE_NORMAL_FULLCLEAR=	Totalmente Completo
	MOUNTAIN_COMPLETE_BSIDE=			Lado B Completo
	MOUNTAIN_COMPLETE_CSIDE=			Lado C Completo

# Game Paused
	MENU_PAUSE_TITLE=			PAUSA
	MENU_PAUSE_RESUME=			Continuar
	MENU_PAUSE_SKIP_CUTSCENE=	Saltar Cutscene
	MENU_PAUSE_RETRY=			Tentar Novamente
	MENU_PAUSE_ASSIST=			Opções de Assistência
	MENU_PAUSE_VARIANT=			Variantes
	MENU_PAUSE_OPTIONS=			Opções
	MENU_PAUSE_RESTARTAREA=		Reiniciar Capítulo
	MENU_PAUSE_SAVEQUIT=		Guardar e Sair
	MENU_PAUSE_RETURN=			Voltar ao Mapa
	MENU_PAUSE_RESTARTDEMO=		Reiniciar Demo
	MENU_RETURN_TITLE=			VOLTAR AO MAPA?
	MENU_RETURN_CONTINUE=		Sim
	MENU_RETURN_CANCEL=			Cancelar
	MENU_RETURN_INFO=			Voltar ao Mapa irá guardar o teu progresso{n}
								mas tens de recomeçar no último checkpoint
	MENU_RESTART_TITLE=			REINICIAR CAPÍTULO?
	MENU_RESTART_CONTINUE=		Sim
	MENU_RESTART_CANCEL=		Cancelar

# Assist UI
	MENU_ASSIST_TITLE=					MODO DE ASSISTÊNCIA
	MENU_ASSIST_SUBTITLE=				Assistências
	MENU_ASSIST_GAMESPEED=				Velocidade do Jogo
	MENU_ASSIST_INVINCIBLE=				Invencibilidade
	MENU_ASSIST_AIR_DASHES=				Dashes no Ar
	MENU_ASSIST_DASH_ASSIST=			Assistência aos Dashes
	MENU_ASSIST_AIR_DASHES_NORMAL=		Normal
	MENU_ASSIST_AIR_DASHES_TWO=			2
	MENU_ASSIST_AIR_DASHES_INFINITE=	Infinito
	MENU_ASSIST_INFINITE_STAMINA=		Energia Infinita

# Variant UI
	MENU_VARIANT_TITLE=					VARIANTES
	MENU_VARIANT_SUBTITLE=				Variantes
	MENU_VARIANT_MIRROR=				Modo Espelhado
	MENU_VARIANT_360DASHING=			Dashing 360
	MENU_VARIANT_INVISMOTION=			Movimento Invisível
	MENU_VARIANT_PLAYASBADELINE=		Outro Próprio
	MENU_VARIANT_NOGRABBING=			Sem Agarrar
	MENU_VARIANT_LOWFRICTION=			Baixa Fricção
	MENU_VARIANT_SUPERDASHING=			Super Dashing
	MENU_VARIANT_HICCUPS=				Soluços

# Misc UI
	UI_CUTSCENE_SKIP=	Saltar
	UI_REMIX_UNLOCKED=	Lado B Desbloqueado
	UI_CANCEL=			Voltar
	UI_CONFIRM=			Confirmar
	UI_QUICK_RESTART_TITLE=Reinicio Rápido:
	UI_QUICK_RESTART_HOLD=Segurar
	UI_QUICK_RESTART_PRESS=Premir

# B SIDES
	REMIX_BY=			Musica por
	REMIX_ALBUM=		Celeste B-Sides

	AREA_1_REMIX=		(Sever the Skyline Mix)
	AREA_2_REMIX=		(Black Moonrise Mix)
	AREA_3_REMIX=		(Good Karma Mix)
	AREA_4_REMIX=		(Golden Feather Mix)
	AREA_5_REMIX=		(Mirror Magic Mix)
	AREA_6_REMIX=		(Center of the Earth Mix)
	AREA_7_REMIX=		(No More Running Mix)
	AREA_9_REMIX=		(Say Goodbye Mix)

# Credits
	CREDITS_THANKYOU=	Obrigado por jogares :)

# Names
	THEO=				{# FF9523}Theo{#}
	THEO_UNDER_STARS=	{# FFFF4C}TheoUnderStars{#}
	MIXMASTER_THEO=		{# FF9523}Mestre das Misturas Theo{#}
	MOM=				{# 339CC7}Mãe{#}
	MROSHIRO=			{# 7BD838}Sr\. Oshiro{#}
	OSHIRO=				{# 7BD838}Oshiro{#}
	ELCREEPO=			{# 7BD838}El Creepo{#}
	MADELINE=			{# F94A4A}{savedata Name}{#}
	MS_MADELINE=		{# F94A4A}Sra\. {savedata Name}{#}
	RESORT=				{# b864be}Resort Celestial{#}
	THOUGHT=			{# 696a6a}{~}(
	ENDTHOUGHT=			){/~}{#}
	MOUNTAIN=			{# 96EFFF}Montanha{#}
	CELESTE_MOUNTAIN=	{# 96EFFF}Montanha Celeste{#}
	PART_OF_ME=			{# d678db}{~}Parte de Mim{/~}{#}
	PART_OF_YOU=		{# d678db}{~}Parte de Ti{/~}{#}
	ST_BAD=				{# d678db}{~}
	END_BAD=			{/~}{#}
	GRANNY=				{# 66ea3a}Avózinha{#}
	PART_OF_HER=		{# 66ea3a}{~}Parte Dela{/~}{#}
	PART_OF_GRANNY=		{# 66ea3a}{~}Parte da Avózinha/~}{#}

# Theo sister name
# if the player name is the same as this one, theo's sister name becomes the ALT_NAME
	THEO_SISTER_NAME=		Alex
	THEO_SISTER_ALT_NAME=	Maddy
	ALEX=					{# F94A4A}{savedata TheoSisterName}{#}

# ================================== IN-GAME DIALOG BEGINS HERE! ==================================

# *** Prologue ***

	CH0_INTRO=
		É agora, {+MADELINE}.
		Respira fundo.
		Porque é que estás tão nervosa?

	CH0_GRANNY=
		{anchor top}

		[MADELINE left normal]
		Desculpe, senhora?

		{trigger 0 Madeline walks forward}

		[MADELINE left normal]
		A tabuleta lá à frente está partida...{n}é este o trilho da {+mountain}?

		[GRANNY right normal]
		Estás quase lá.{n}É do outro lado da ponte.

		{trigger 1 Madeline walks to the right of the house, turns left}
		
		[MADELINE right sad]
		Já agora, devia ligar a alguém por causa da sua entrada. A passagem desmoronou-se e eu quase morri.

		{trigger 2 Granny laughs}

		[GRANNY left laugh]
		Se a minha {>> 0.3}"entrada"{>>}{0.2} quase te mandou desta {n}para melhor, então a {+mountain} é demais para ti.

		{trigger 3 Laugh Continues}

		[MADELINE right upset]
		{0.5}...{0.2}

		[MADELINE right angry]
		Bem, se uma velha como {~}a senhora{/~} consegue{n}sobreviver aqui, então acho que vou ficar bem.

		{trigger 4 Stop laughing}

		[GRANNY left normal]
		Fica à vontade.

		{silent_trigger 5 Ominous zoom-in}

		[GRANNY left normal]
		Mas devias ficar a saber, a {n}{+CELESTE_MOUNTAIN} é um lugar estranho.

		[GRANNY left creepA]
		Poderás ver coisas.

		[GRANNY left creepB]
		Coisas que não estás preparada para ver.

		{trigger 6 pan to Maddy}

		[MADELINE right upset]
		Trate-se, senhora.

		{trigger 3 resume laughing}

	CH0_END=
		Tu consegues fazer isto.

# *** Chapter 01 ***

	CH1_THEO_A=
		[THEO left normal]
		Boas, companheira viajante!

		[MADELINE right distracted]
		Ah... olá.

		{trigger 0 Madeline approaches}
		
		[THEO left normal]
		Que noite brutal para uma caminhada!

		[MADELINE right distracted]
		Acho que sim.

		[THEO left normal]
		Este sítio é uma loucura.

		[THEO left excited]
		Mal acredito que existe!

		[MADELINE right sad]
		Não é a uma escalada fácil, pois não?

		[MADELINE right distracted]
		Mas acho que era isto que eu estava à procura...
		
		[THEO left normal]
		Uau, isso parece bastante sério.
		Mas estou contente por ver outro{n}ser humano num lugar tão isolado.

		[THEO left excited]
		Chamo-me {+ theo}, já agora, um aventureiro de uma {>> 0.3}{~}terra longínqua!{/~}{>>}
		
		[MADELINE right sad]
		...{0.2}

		[THEO left thinking]
		És muito calada, não és?

		[THEO left normal]
		És do tipo loba solitária, eu percebo.{n}Vou imaginar um passado sombrio para ti.

	CH1_THEO_B=
		[MADELINE right sad]
		Ah, desculpa. Eu sou a {+MADELINE}.
		Ando com muita coisa na minha cabeça.

		[THEO left normal]
		Bem, {+MADELINE}, eu diria que vieste ao sítio certo!

		[THEO left thinking]
		Estou congelado até às pontas dos dedos, mas não{n} consigo imaginar um sítio melhor para pensar na vida e refletir.
		
		[MADELINE right sad]
		Sim, acho que tens razão.

		[MADELINE right normal]
		De qual "{>> 0.5}{~}terra longínqua{/~}{>>}" é que vens?
		
		[THEO left excited]
		Bem, minha compatriota curiosa, eu venho{n}do {0.3}{~}místico,{0.4} exótico{/~}{0.4} reino de...
		
		[THEO left normal]
		{0.4} Seattle.

		[MADELINE right normal]
		Parece um lugar especial.

	CH1_THEO_C=
		[THEO left excited]
		Este sítio é uma loucura!

		[THEO left normal]
		Porque é que iriam deixar uma cidade inteira abandonada?
		
		[MADELINE right normal]
		Ouvi dizer que uma mega-empresa começou{n}a construí-la, mas depois ninguém quis morar aqui.

		[MADELINE right distracted]
		Pergunto-me porquê...
		
		[THEO left excited]
		Aposto que o governo está a esconder algo.

		[MADELINE right distracted]
		Que desperdício, construír isto tudo para nada...

		[THEO left normal]
		Pelo menos podemos desfrutar daquilo que resta.

	CH1_THEO_D=
		[MADELINE right normal]
		Vieste aqui para explorar a cidade?
		
		[THEO left normal]
		Sim, tenho uma queda por sítios abandonados.
		
		[THEO left thinking]
		E gosto de pensar que sou{n}um fotógrafo em desenvolvimento.
		
		[MADELINE right normal]
		A sério? Fixe!
		Tens algum blog ou algo do género?
		
		[THEO left thinking]
		Um blog?
		{+MADELINE}.
		Hoje em dia toda a gente usa o {# FFFF4C}InstaPix{#}.
		
		[THEO left excited]
		Eu sou o {+THEO_UNDER_STARS} lá, procura!

	CH1_THEO_E=
		[THEO left normal]
		Este terreno é bastante complicado,{n}vais voltar para trás?
		
		[MADELINE right normal]
		Não. Vou para o cume.
		
		[THEO left excited]
		Consigo ver a determinação nos teus olhos!

		[THEO left normal]
		É inspirador,

		[MADELINE right distracted]
		Se achas que sim.

		[MADELINE right normal]
		Aposto que também consegues lá chegar.

		[THEO left normal]
		Se calhar.
		
		[THEO left thinking]
		Mas sinceramente não estou muito preocupado em chegar ao topo.

		[THEO left normal]
		{!}Ah!{/!} Mas ouvi dizer que há umas ruínas {~}brutais{/~}{n}para lá da cidade.
		
		[THEO left excited]
		Do tipo, brutais de 1800.

		[THEO left normal]
		Sei que é arriscado, mas preciso de as ver pelos meus próprios olhos.

	CH1_THEO_F=
		[THEO left normal]
		Qual é aquela cena que se diz mesmo antes{n}de fazeres algo irresponsável?

		[MADELINE right sad]
		Hm... "atirar a cautela ao vento?"

		[THEO left wtf]
		Não, não é isso.

		[THEO left excited]
		Ah, pois é...

		{trigger 0 Theo pumps his fist in the air}
		
		[THEO left yolo]
		{big}{~}Y{>> 0.5}OLO{>> 0.2}OOOOOOOO!!{>>}{/~}{/big}

	MEMORIAL=
		-- MONTANHA CELESTE --
		Este memorial é dedicado àqueles
		Que faleceram na escalada

	CH1_END=
		[MADELINE left distracted]
		Ufa, estou exausta.

		{trigger 0 MADELINE sits down to rest. A bird swoops in, lands on her head, and goes to sleep}
		
		[MADELINE left deadpan]
		{>> 0.4}Acho que isto foi um erro.

# *** Chapter 02 ***

	CH2_BADELINE_INTRO=
		{anchor top}
		
		[BADELINE left normal]
		{+MADELINE}, querida, acalma-te.

		{trigger 0 Madeline turns around}
		
		[MADELINE right distracted]
		Quem está aí?
		
		[BADELINE left normal]
		Ah, sou apenas uma observadora preocupada.

		{trigger 1 Badeline is revealed}
		
		[MADELINE right sad]
		Tu és... eu?

		[BADELINE left normal]
		Eu sou {+PART_OF_YOU}.

		[MADELINE right sad]
